username,repo_name,stars,repo_url
mrdoob,three.js,84000,https://github.com/mrdoob/three.js
libgdx,libgdx,20300,https://github.com/libgdx/libgdx
pmndrs,react-three-fiber,18900,https://github.com/pmndrs/react-three-fiber
BabylonJS,Babylon.js,18000,https://github.com/BabylonJS/Babylon.js
aframevr,aframe,14400,https://github.com/aframevr/aframe
ssloy,tinyrenderer,14300,https://github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,13400,https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,11800,https://github.com/FreeCAD/FreeCAD
metafizzy,zdog,9200,https://github.com/metafizzy/zdog
CesiumGS,cesium,9000,https://github.com/CesiumGS/cesium
timzhang642,3D-Machine-Learning,8100,https://github.com/timzhang642/3D-Machine-Learning
a1studmuffin,SpaceshipGenerator,7200,https://github.com/a1studmuffin/SpaceshipGenerator
isl-org,Open3D,7100,https://github.com/isl-org/Open3D
blender,blender,6200,https://github.com/blender/blender
domlysz,BlenderGIS,5500,https://github.com/domlysz/BlenderGIS
spritejs,spritejs,4900,https://github.com/spritejs/spritejs
openscad,openscad,4900,https://github.com/openscad/openscad
tensorspace-team,tensorspace,4700,https://github.com/tensorspace-team/tensorspace
jagenjo,webglstudio.js,4700,https://github.com/jagenjo/webglstudio.js
YadiraF,PRNet,4700,https://github.com/YadiraF/PRNet
google,model-viewer,4600,https://github.com/google/model-viewer
AaronJackson,vrn,4400,https://github.com/AaronJackson/vrn
ssloy,tinyraytracer,4200,https://github.com/ssloy/tinyraytracer
FyroxEngine,Fyrox,4200,https://github.com/FyroxEngine/Fyrox
mosra,magnum,4100,https://github.com/mosra/magnum
tengbao,vanta,3900,https://github.com/tengbao/vanta
gfxfundamentals,webgl-fundamentals,3700,https://github.com/gfxfundamentals/webgl-fundamentals
cleardusk,3DDFA,3300,https://github.com/cleardusk/3DDFA
jasonlong,isometric-contributions,3200,https://github.com/jasonlong/isometric-contributions
cnr-isti-vclab,meshlab,3100,https://github.com/cnr-isti-vclab/meshlab
